ID,claim,evidence
0,"['in every presidential campaign there are issues everyone knows beforehand will be discussed what should we do about immigration how can we improve the economy""', 'it is with the public health crisis in flint michigan where a public health catastrophe has played out over the last two years and more and more politicians are being asked to comment on it""', 'i ve long been an advocate of politicizing just about everything not because candidates should take any excuse to blame each other for anythingofficials need to make choices and campaigns provide an opportunity to get them on record saying how they d address critical issues""', 'right after a hurricane is the best time to talk about what government should do to prepare for disasters just as the aftermath of a high profile police shooting is the best time to talk about police practices""', 'they aren t interested in discussing the race and class issues the crisis raises and thus far they don t seem to want to talk seriously about it at all""', 'the catastrophe in flint raises and thats what the candidates ought to be pressed on""', 'they don t even have to agree on who bears the lions share of the blame to agreewe have a national problem that requires attention""', 'the american society of civil engineers gives the countrys drinking water system a grade of d""']","['to get you up to speed in 2014 in an effort to save money the city stopped getting its water from detroit and began getting it from the contaminated flint river.', 'it turned out that all manner of nasty chemicals were contained in the water most alarmingly lead.', 'it is important to understand that at the time flints own elected officials were all but powerless because the city was being run by a emergency manager appointed by michigan governor rick snyder ; it was the emergency manager who made the final call to switch their water supply.', 'emails released yesterday by snyders administration show that as flint residents were complaining about the waters color and taste and reporting ill health effects state officials were not particularly eager to do anything about it.', 'snyders chief of staff wrote in one email that other state officials felt that some in flint are taking the very sensitive issue of childrens exposure to lead and trying to turn it into a political football.', 'hillary clinton raised it in sundays debate when asked what issue she wish had been brought up but hadn t saying we ve had a city in the united states of america where the population which is poor in many ways and majority african american has been drinking and bathing in lead contaminated water.', 'and the governor of that state acted as though he didn t really care.', 'marco rubio was asked about it on monday and said he couldn t say much since thats not an issue that right now we ve been focused on ; from what i can tell he hasn t said anything about it since.', 'donald trump was also reluctant to discuss it responding to a reporters question on tuesday by saying a thing like that shouldn t happen but again i don t want to comment on that.', 'john kasich said i think the governor has moved the national guard in and you know i m sure he will manage this appropriately.', 'it is a failure at every level of government a failure of the city officials a failure of the county officials and the men and women of michigan have been betrayed cruz said.', 'in addition cruzs michigan state director wrote on her facebook page that the campaign was bringing bottled water to crisis pregnancy centers in the city which try to convince women not to have abortions.', 'cruz did his best to fit the issue in with his broader critique of government but it isn t surprising that the rest of his republican colleagues didn t really want to talk about it.', 'if snyder were a democrat you can be sure they d be blaming him but he isn t. they aren t going to say that this disaster demonstrates that the problems that affect poor and black people are given less attention by government at all levels than the problems that affect rich and white people because most of them don t think thats actually true.', 'they aren t going to say that this shows that we need a major investment in infrastructure spending in america because they don t really believe that either.', 'so now that we are focusing on the question of drinking water the candidates should say what they see as our infrastructure priorities how we should address them how much we ought to spend and how that fits in with the other things they d like to spend money on.']"
1,[],"['jewish guards who helped murder jews in the camps.', 'they re only helping the enemy who will destroy them.', 'maybe they think if i help them we ll get along okay ; somehow i ll save my race by working with the murderers said barber at a fundraiser for ross on the upper west side of new york city on.']"
2,[],"['at the tender age of 14 olives family were travelling alone to seek a better life in california.', 'only three of the oatmans survived the attack.', 'olives parents and four of their children were killed and olives brother lorenzo was clubbed and left for dead.', 'both oatman girls were tattooed on their chins and arms in keeping with the tribal custom.', 'during 1855 the tribe experienced a dire shortage of food supplies and ten year old march ann died of starvation along with many mohaves.', 'because olive did not know that her brother had survived the massacre she believed she had no immediate family left and the mohave raised her as their own.', 'when she arrived at what was to be her new home olive was dressed in traditional mohave attire which meant she wore nothing above the waist.', 'the following video which was shot during a far right rally in paris four topless ukrainian feminists occupied a rooftop holding a sign that read sextermination for nazism.']"
3,"['the electorates are generally older and whiter appears stronger and offers the possibility of gains in places democrats carried recently""', 'trump is struggling in places republicans have wonhold to have any hope of winning""', 'in mississippi trumps lead is justthe republican party nominee is in much danger there""', 'the poll finds johnson is poised to garner significant support""', 'overall the results reflect trumps strategy of maximizing support in older whiter midwestern states where his anti free trade message and appeals to national identity generally find more fertile ground""', 'their bases of support are mirror images on average clinton does 31 points better among nonwhite voters than whites and trump does 31 points better among white voters than nonwhites""', 'trumps base among white voters without a college degree remains strong and substantial""', 'the republican party nominee must find a way to appeal to these college educated voters""', 'changing demographics would make the state competitive in national elections but probably not for several more cycles""']","['with nine weeks until election day donald trump is within striking distance in the upper midwest but hillary clintons strength in many battlegrounds and some traditional republican strongholds gives her a big electoral college advantage according to a 50 state washington post surveymonkey poll.', 'the individual state samples vary in size from about 550 to more than 5 000 allowing greater opportunities than typical surveys to look at different groups within the population and compare them from state to state.', 'the 50 state findings come at a time when the average national margin between clinton and trump has narrowed.', 'what once was a clinton lead nationally of eight to 10 points shortly after the party conventions ended a month ago is now about four points according to the realclearpolitics polling average.', 'a number of battleground states also have tightened according to surveys released from other organizations in recent days.', 'in colorado other polls have shown a larger clinton lead.', 'trump leads by at least four points in 20 states as well but those add up to just 126 electoral votes.', 'he is currently receiving at least 15 percent support in 15 states.', 'his support in utah is 23 percent and in colorado and iowa it is 16 percent.', 'stein has less support in the poll peaking at 10 percent in vermont and receiving at least 7 percent support in 10 states.', 'with prominent republicans declaring they will not support trump and some even announcing they will back clinton this represents a major challenge for the republican party nominee.', 'in the post surveymonkey poll clinton is winning 90 percent or more of the democratic vote in 32 states while trump is at or above that level in just 13.', 'averaging across all 50 states clinton does 14 points better among women than men and trump does 16 points better among men than women.', 'among white college graduates clinton leads trump in 31 of the 50 states and the two are about even in six others.', 'across 49 states where the poll interviewed at least 100 white college educated women clinton leads trump with this group in 38 states and by double digit margins in 37.', 'he leads clinton in 43 of the 50 states and the two are roughly even in five others.', 'trumps challenge in the states that remain close will be to produce significant turnout among white non college voters to offset those clinton margins but it is far from clear that there are enough of them to be decisive.', 'clintons biggest lead among the contested states in that region is in pennsylvania where her margin is just four points.', 'in wisconsin and michigan she leads by a nominal two points while trump leads by four points in iowa and three points in ohio.', 'recent polls by other organizations have indicated that wisconsin has tightened over the past month.', 'a recent suffolk university poll in michigan shows clinton leading by seven points and the realclearpolitics average in ohio shows clinton ahead by three points.', 'the post surveymonkey poll shows colorado closer than other polls there with clinton leading by just two points and the race tied when johnson and stein are included.', 'in nevada clinton enjoys a lead of five points in head to head competition with trump but by just three points in a four way test.', 'of all the states texas provided the most unexpected result.', 'in 2012 president obama lost the state by 16 points.', 'the post surveymonkey poll of texas shows a dead heat with clinton at 46 percent and trump at 45 percent.', 'among men trump is doing slightly worse than mccain did eight years ago.']"
4,"['the street protest came as prosecutors investigate presidential aides and other officials to determine whether they broke the law to allow parks friend choi soon sil to wield undue influence and gain financially""', 'park betrayed public trust and mismanaged the government and has lost a mandate to lead the country""', 'support trunews to help build a global news network that provides a credible source for world news we believe christians need and deserve their own global news network to keep the worldwide church informed and to offer christians a positive alternative to the anti christian bigotry of the mainstream news media top stories""']","['she must step down lee jae myung mayor of seongnam city south of seoul and a vocal critic of the government said to a loud cheer from the crowd.', 'organizers said up to 30 000 people took part in the march through the capital.', 'it is become clear the people made a wrong decision and picked a wrong president jeong hong woo 22 told reuters at the rally.', 'parks office said late on friday she ordered her senior secretaries to tender their resignations and she will reshuffle the office in the near future.', 'her chief of staff separately offered to resign earlier the office said.', 'in one opinion poll more than 40 percent of respondents said park should resign or be impeached.', 'cooperating with probe prosecutors are investigating two of parks aides who allegedly helped choi get access to drafts of parks speeches and set up two foundations with about 50 billion won in contributions from conglomerates that she later benefited from south koreas yonhap news agency reported.', 'the presidential office said it was cooperating with the prosecutors investigation including a request for documents.', 'read more us south korea drill will simulate killing of kim jong un a public apology by park on tuesday for giving choi access to draft speeches during the early months of her presidency has done little to deflect demands that the president reveal the full extent of her ties with choi and whether choi gained favors from the relationship.', 'choi said in a newspaper interview on thursday from germany where she was staying that she read and revised parks speeches early in the presidential term but denied all allegations she interfered in state affairs.', 'as well as demanding park stand down civic groups and students want criminal charges brought against her aides and others who helped choi have access to government documents.']"
5,"['donald trump said i need to get out of the race because i am getting his voters""', 'accurate is the polling that shows kasich would do the best against clinton""']","['but polling shows the candidate with the best chance of beating democratic front runner hillary clinton is ohio gov. even after his loss in wisconsin to cruz trump remains the leader for the republican party nomination.', 'meanwhile both men want ohio gov. john kasich to drop out because they believe they can win his delegates.', 'first of all i think he happens to take votes away from me... i don t think he should be staying the real estate mogul said.', 'trumps weakness is not only a high unfavorable rating above 60 percent but that polls have shown he has trailed clinton in 11 of 12 target states that will determine the outcome in november.', 'according to realclearpolitics poll averages trump does the worst against clinton with the former state secretary leading him by an average of nearly 11.', 'polls have very little predictive value about national contests at this early stage she said.', 'you wan na take a whack at me ?', 'lets get it on he said.']"
6,[],[]
7,"['to win he does not just need towe are in the midst of an existential crisis""', 'billionaire does not have those kinds of stories to tell... a textbook cult of personality trump did however present himself as a white knight who is singularly capable of restoring order""', 'he didn t even seem interested in trying to show votershe has more range than he is shown over the last year""', 'there is a push among some lefties to prevent hrc from picking kaine or vilsack""', 'critics say both requests help banks of many sizes avoid oversight""', 'he is likely to be called on to clarify trumps ever shifting views on policy""']","['cleveland you could not be forgiven for wanting to pop a valium at the end of donald trumps acceptance speech last night.', 'the republican nominee painted a stark picture of a hobbesian america that is nasty brutish and short.', 'trump essentially used the most important speech of his campaign and perhaps political career to yell fire in a crowded theatre.', 'he warned that we are in a moment of crisis and made the case that these desperate times call for desperate measures.', 'while the message seem tailored to the same disaffected and angry working class voters who fueled his primary victories he clearly wanted to convince a national audience that things are so bad right now that they should swallow whatever doubts they have to take a chance on him.', 'beginning on january 20th of 2017 safety will be restored he declared.', 'the attacks on our police and the terrorism in our cities threaten our very way of life he said repeatedly touting himself as the law and order candidate.', 'he spoke of a violent crime wave murderous illegal immigrants roaming free innocent children sacrificed on the altar of open borders and an america shocked to its core.', 'after fifteen years of wars in the middle east after trillions of dollars spent and thousands of lives lost the situation is worse than it has ever been before he said.', 'clocking in at 76 minutes it was the longest acceptance speech at any major party convention since 1972 drawing comparisons to fidel castro.', 'our in house fact checkers challenge the accuracy of 25 different assertions trump made last night.', 'when facts are inconveniently positive such as rising incomes and an unemployment rate under 5 percent trump simply declines to mention them.', 'he describes an exceedingly violent nation flooded with murders when in reality the violent crime rate has been cut in half since the crack cocaine epidemic hit its peak in 1991.', 'if reality does not conform to what trump needs reality to be to support his case he will invent a new reality e.j. an array of key republican thought leaders expressed angst and alarm about the tenor of trumps speech.', 'a republican party pollster who specializes in outreach to young people the conservative columnist at the nyt the mainstream media was also taken aback by the gloom the financial timess united states columnist a culture reporter for the new york times trump really does want to be the new nixon.', 'as promised earlier this week his speech heavily drew on and echoed richard nixons acceptance speech at the 1968 convention.', 'i am your voice trump said saying that he will fight tirelessly for millions who have been forgotten.', 'i wonder what my dad would think of my tremendous success trump said late in the speech.', 'in nixons 1968 rnc speech for instance he spoke poignantly about being a poor boy in california listening to the train go by at night and dreaming of a better future.', 'i have a message to every last person threatening the peace on our streets and the safety of our police he said at another point.', 'when i take the oath of office next year i will restore law and order to our country.', 'wonkblogs jim tankersley compares the text of trumps speech last night to reagans speech at the republican party convention in detroit in 1980 most strikingly reagan warned voters to place their faith in free people not powerful leaders.', 'trust me government asks that we concentrate our hopes and dreams on one man ; that we trust him to do whats best for us he said.', 'it is orange and it will never let you down.', 'if you order now donald trump will senator you another one free.', 'more broadly trump clearly believes in his heart that government is the solution to our problems.', 'the political editor at buzzfeed who previously wrote for the conservative free beacon trump rejected other core tents of modern conservatism as well.', 'americanism not globalism will be our credo he said.', 'the audience cheered and applauded for a lot of lines that conservatives in the not distant past would have booed a democrat for saying.', 'he effectively laid out the case that the economy had improved dramatically compared to what obama had inherited when he took office in january 2009.', 'obama himself speaks next week in philadelphia and you can bet he ll try to rebut the picture that trump painted of the economy and the country.', 'a ton of online buzz was about the yelling to his credit trump again showed he can be self disciplined when he wants to be for a night.', 'a few minute later a protestor to his left disrupted his speech and held up a sign that said build bridges not walls.', 'looking to the next 100 days many republican experts believe trump did little to expand his appeal beyond the base.', 'it may be that this speech was so unusual relentlessly negative and high decibel that it will punch through more the analysts realize national review editor rich lowry writes.', 'the former communications director for the nrsc a coming out party for the republican party another notable moments from last night that will be remembered was when billionaire paypal founder peter thiel told the convention i am proud to be gay.', 'it was the first declaration of its kind and most of the delegates stood and cheered.', 'then in his speech trump referred to the massacre of 49 wonderful americans at a gay nightclub in orlando and promised to protect our lgbtq citizens.', 'as a republican i have to say it is so north carolina to hear you cheering he said.', 'even the running mate trump picked to appeal to social conservatives got in on it while you were sleeping we may find out hillarys v.p. choice this afternoon even though she is not expected to formally announce her choice until tomorrow the headline in the new york times is tim kaine seems likely for hillary.', 'elizabeth warren does not think it is her i think if it was me i d know it by now the massachusetts senator told stephen colbert last night.', 'they grumble that the virginian is too close to the financial services industry and the ag secretary is too close to corporate agri business.', 'kaine brushed the criticisms aside people are going to say whatever they want but i m strongly for the regulation of the financial industry he told reporters in northern virginia.', 'if you spend a lot of time over regulating credit unions and community banks you are basically letting a lot of the big guys off easily.', 'i see much in it to like he told the intercept calling the deal an upgrade of labor standards environmental standards and intellectual property protections.', 'teasing reporters clinton tweeted pictures of cory booker from her official account the olympics are shaping up to be a debacle waterways surrounding rios olympic park are so sewage infested and filthy that they bubble with sulfur and methane gases while dead fish float atop the surface.', 'ten people suspected of planning terrorist attacks during the games were arrested.', 'the speaker believes the united states should defend our nato allies a ryan spokeswoman said.', 'my hope is that if donald is elected president we can convince him to change his mind on it said marco rubio.', 'he heads the freedom party in the netherlands explained to a delegate who was wondering about the fuss.', '... in another year the far right wilders would not have made it past the perimeter.', 'he has proposed moratoriums on new muslim immigration to his country and a similar halt on mosque construction.', 'many members of racially conscious and anti immigrant alt right movement came to cleveland to celebrate trumps hostile takeover of the gop.', 'they held meetings co hosted parties and happily met the news media.', 'as ted cruz continued to dig in on his refusal to endorse trump the nominee said the crowd booing the texas senator is evidence that the republican party has coalesced behind him.', 'from sean sullivan and philip rucker addressing donors at a closed door lunch trump said that he reince priebus and campaign chairman paul manafort knew what they were doing when they let cruz speak.', 'i am not going to call him lyin ted anymore but he did sign the pledge and it was pretty definitive.', 'he isn t a team player trump said people in the room told sean sullivan and phil rucker report.', 'at the thursday lunch trump also called criticized jeb bush and john kasich who skipped the convention and are not backing trump.', 'if i got beaten as bad as kasich got beaten by me i wouldn t support him either trump said of kasich... trump praised marco rubio and rick perry who voiced support for trump during their convention remarks.', 'cruz manager jeff roe responding to chris christie criticism of his bosss speech said the new jersey governor turned over his political testicles long ago.', 'donald trump junior said they can win without cruzs endorsement we knew what was coming.', 'we let him do it.', 'we were the bigger men he told north carolina trump ally roger stone suggested that the donald could not back a primary challenger to the texas senator when hes up for reelection in 2018.', 'a lip reader told inside edition that as cruz walked off stage trump can be seen on video asking his daughter do you think i made a mistake ?', 'ross douthat praises cruz in his nyt column the future is but you can make sure that when the history of the present year is written your place won t be with those timid and temporizing souls who surrendered both their party and their dignity to trump.', 'and it is yet another irony of this most ironic year that it would be the most overtly machiavellian of republican politicians who would keep his honor and pass a test that so many politicians of more conspicuous high mindedness have failed.', 'though mike pences cleveland introduction speech was overshadowed by cruz many conservatives were nonetheless impressed and see him as a tame straight laced figure to help balance trump.', 'pences role be to the republican party what trump can not by ed o keefe indiana republican craig dunn said that his states governor.', 'trump and his running mate have both expressed willingness to headline fundraisers for rebuilding america now according to ken mckay the groups chief strategist.', 'the trump campaign said it raised over 3 million in a 24 hour period that included pences acceptance speech.', 'weintraub even took a picture posted on twitter of one vendors stand and wrote we are on it rnc vendors appear to be compliant !', 'zignal visual zignal labs tracked more than 6.4 million cross media mentions of the republican convention.', 'on social media at least melania trumps plagiarism was the hottest story of the convention.', 'among the undercard speakers peter theil received the most online reaction heres some of how clintons campaign responded ivanka trump the candidates oldest daughter tried to present her dad as a champion for working moms.', 'i do not consider myself categorically republican or democrat the 34 year old said.', 'more than party affiliation i vote based on what i believe is right for my family and my country.', 'in case you were wondering sanders plans on being a unifying force in philadelphia.', 'a spokesman said he has no plans to channel cruz and snub clinton.', 'he ll host a pre philadelphia meeting with many of the 1 900 delegates representing him to talk about what hes accomplished in the past year and where we go from here per john wagner.', 'heres video of the code pink protester who made it into the arena in response to online chatter that she made a nazi salute while speaking at the convention laura ingraham posted this the rncs chief strategist agreed live on television with a congressman that cruz is an a hole neocons are falling away from the republican party because of trump and his comments about nato estonias president whose countrys very survival trump threatened with his flip comment responded as well another scene from cleveland via the washington examiner outside of cleveland michele bachmann posted this about black lives matter on the campaign trail clinton is in orlando and tampa fla. at the white house obama holds a bilateral meeting with mexico president enrique peña nieto of mexico followed by a joint press conference.', 'news you can use if you live in district of columbia expect scalding hot temps to usher us into the weekend per the capital weather gangs friday morning forecast.', 'mid to upper 90s for afternoon high temperatures feel closer to 100 + thanks to nearly oppressive dew points near 70 degrees.', 'george washington university said it is bringing in outside counsel to assist in investigating allegations against mens basketball coach mike lonergan after players complained about verbal and emotional abuse and player mistreatment by the six year coach.', 'a 68 year old man was pumping gas in southeast district of columbia yesterday morning when a robber walked up and shot him.', 'michelle obama did carpool karaoke with james corden and missy elliott the saturday night live cast put together a bunch of sketches from the convention go inside the convention in 360 degrees with the posts video team in this pro clinton video a trump impersonator tweets instead of picking up the red phone young turks host cenk uygur went off on alex jones after jones crashed his livestream at the convention watch video footage of the moments before an unarmed therapist charles kinsey was shot by north miami police kinsey spoke about the shooting from the hospital this six year old stole the show at the convention with her rendition of america the beautiful.']"
8,"['others go bankrupt because they can not survive with crude prices so low""']","['in some gas stations around the country the price of a gallon of regular has dropped below over 1 aaa and gasbuddy two organizations that follow gasoline prices say that gasoline prices below 2 dollars will not be unusual in most of the united states.', 'as oil prices fall and refinery capacity stays strong the price of gas could not reach 1 dollars a gallon in some areas a level last reached in 1999.', 'as a matter of fact the entire states of alabama arkansas missouri oklahoma and south caroline have gas prices that average at or below over 1 gasoline prices are driven mostly by four factors oil prices proximity to refineries refinery capacity and state taxes and levies.', 'oil prices have dropped below 33 dollars a barrel and continue to collapse.', 'at the same time slowing national economies in the largest countries including china will lower demand.', 'china now tops the list of oil importers according to the financial times having moved ahead of the united states.', 'finally gas taxes in several states are well below the national average of over 0 a gallon according to the american petroleum institute.', 'in some low gas price states these taxes are below over 0 this includes south carolina at over 0 missouri at over 0 and oklahoma at over 0 low gas taxes in these states compound the effect of falling oil prices.']"
9,[],"['ashutosh attempts suicide at protest rally rescued while proofreading suicide note posted on tweet delhi police has foiled a suicide attempt by aam aadmi party spokesperson ashutosh during a protest rally organized by his party.', 'he was apprehended when he and his team were proofreading his suicide note before attempting suicide.', 'the incident happened yesterday when aap supremo arvind kejriwal organized an impromptu protest rally at jantar mantar to expose narendra modi but unfortunately no one from the media turned up for the event.', 'crestfallen mister kejriwal decided to go back on twitter and continue his service for his constituency when an idea crossed his mind.', 'he shared the idea with ashutosh and urged him to commit suicide.', 'but this is not what i was looking forward to when i joined aap retorted ashutosh.', 'no you are not going to die.', 'you will just attempt a suicide.', 'we will call media to cover the event.', 'just imagine you will be making headlines you will be trending on twitter everyone will be talking about you.', 'he pondered for a while and said ok lets do it.', 'aap party workers gathered around ashutosh as he typed the opening line on microsoft word that read i holed modi resoncible for my deth... a crack team of 5 proof readers was formed immediately who advised him about the correction the sentence demanded.', 'sir wait we haven t started proofreading yet implored one of the newly hired proofreaders.', '3 proofreaders immediately started to decode the message in the letter in a separate document another 3 changed the language settings of ms word and the rest started deleting the word why which he had added at the end of every sentence.', 'but it was too much of an ask for 10 mortals and they couldn t even rewrite half of the letter when police arrived at the scene.', 'he was about to commit suicide.', 'the inspector held the suicide note in front of him and mumbled oh ashutosh.']"
