ID,claim,evidence
0,['Says the Annies List political group supports thirdtrimester abortions on demand'],[]
1,[],"['When did the decline of coal start ?', 'It started when natural gas took off that started to begin in President George W. Bushs administration .']"
2,[],"[""Hillary Clinton agrees with John McCain ' by voting to give George Bush the benefit of the doubt on Iran . '""]"
3,[],['Health care reform legislation is likely to mandate free sex change surgeries .']
4,[],['The economic turnaround started at the end of my term .']
5,[],[]
6,[],[]
7,[],[]
8,[],[]
9,[],['Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $ 788 million in higher electricity costs .']
10,[],[]
11,[],"['Since 2000 , nearly 12 million Americans have slipped out of the middle class and into poverty .']"
12,[],"['When Mitt Romney was governor of Massachusetts , we didnt just slow the rate of growth of our government , we actually cut it .']"
13,[],['The economy bled $ 24 billion due to the government shutdown .']
14,[],[]
15,[],"['In this last election in November , ... 63 percent of the American people chose not to vote , ... 80 percent of young people , and 75 percent of lowincome workers chose not to vote .']"
16,['the government buy Americanmade motorcycles'],"[""And he said all buyAmerican provisions were quote ` disgraceful . '""]"
17,[],[]
18,[],"['Water rates in Manila , Philippines , were raised up to 845 percent when a subsidiary of the World Bank became a partial owner .']"
19,[],"['Almost 100,000 people left Puerto Rico last year .']"
20,[],['Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor .']
21,[],[]
22,[],['We just had the best year for the auto industry in America in history .']
23,[],[]
24,[],[]
25,[],[]
26,[],[]
27,[],[]
28,[],[]
29,[],[]
30,[],[]
31,[],"['If you look at states that are right to work , they constantly do not have budget deficits and they have very good business climates .']"
32,[],['What the Obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants .']
33,[],['We cut business taxes so today 70 percent of our businesses dont pay a business tax .']
34,[],['Says Mark Pryor votes with Obama 93 percent of the time .']
35,[],['We have a federal government that thinks they have the authority to regulate our toilet seats .']
36,[],[]
37,[],"[""The nuclear test conducted in our nation this time is the Earth 's 2,054 th nuclear test ."", 'The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests .']"
38,[],[]
39,[],"['Under President George W. Bush , we added $ 4.9 trillion to the debt .', 'Under President Obama weve added $ 6.5 trillion to the debt .']"
40,[],[]
41,[],[]
42,[],[]
43,[],[]
44,[],"[""We have a director of homeland security who can not use and will not use the term ` terrorist attack ' but instead substitutes ` manmade disaster . '""]"
45,[],['Hispanic youth unemployment is 36 percent .']
46,[],[]
47,[],['President Barack Obama took exactly none of his own deficit reduction commissions ideas .']
48,[],['It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost Capt. Humayun Khans life .']
49,[],['Hillary Clinton in 2005 cosponsored legislation that would jail flag burners .']
50,['Massachusetts individual mandate should be the model for the country'],[]
51,[],[]
52,[],[]
53,[],[]
54,[],[]
55,[],[]
56,[],['A federal system that verifies employees are authorized to work in the United States is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time .']
57,[],['And they couldnt get environmental impact statements .']
58,[],"[""Sen. Obama 's campaign announced that he 's choosing his cabinet .""]"
59,[],"['In 2008 , only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out .']"
60,[],['Only 2 percent of public high schools in the country offer PE classes .']
61,[],"[""Said he 's the only Republican candidate ' who 's actually turned around a government economy . '""]"
62,[],"[""On military recruiters at Harvard , Elena Kagan ' took a position and the Supreme Court ruled unanimously that she was wrong . '""]"
63,[],[]
64,[],"['Under Mayor Cicilline , [ Providence ] was a sanctuary city .']"
65,[],[]
66,[],"['At Bain Capital , we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised .']"
67,[],[]
68,[],[]
69,[],['Alex Sink funneled three quarters of a million dollars in nobid contracts to Bank of America .']
70,[],"['If you take the population growth here in Virginia , we are net zero on job creation since Bob McDonnell became governor .']"
71,[],"['Under Obama , home values in Florida collapsed , construction jobs were lost and the state had a high foreclosure rate .']"
72,[],"[""The new Arizona immigration law ' says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person . '""]"
73,[],['The only time in our history when the debt has been higher than this was the end of World War II']
74,[],[]
75,[],['The savings rate is now 6.2 percent .']
76,[],['On whether a United States Supreme Court nominee should be forthcoming at confirmation hearings .']
77,[],[]
78,[],[]
79,[],['I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together forget the United States .']
80,[],[]
81,[],[]
82,[],[]
83,[],[]
84,[],['Says United States Rep. Steve Southerland voted to keep the shutdown going .']
85,[],"['In Rick Perrys Texas , we import nurses ... from other countries .']"
86,[],[]
87,[],['We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders .']
88,[],"[""Sen. McCain 's tax plan provides ' virtually nothing to the middle class . '""]"
89,[],[]
90,[],[]
91,[],[]
92,[],[]
93,[],['Says a poll found him the only Republican candidate who could beat Barack Obama in Texas and by eight points .']
94,[],"['President Ronald Reagan sent troops into conflict only in one circumstance , which was in Grenada We were in a peacekeeping setting in Lebanon .']"
95,[],[]
96,[],[]
97,[],[]
98,[],"['Since 1968 , more Americans have died from gunfire than died in all the wars of this countrys history .']"
99,[],[]
100,[],['The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house .']
101,[],[]
102,[],"['Raising the minimum wage to $ 10.10 an hour , would help lift over a million Americans out of poverty .']"
103,[],"['Says Secretary of State John Kerry , when he was a senator , flew to Managua and met with a communist dictator there , Daniel Ortega , and accused the Reagan administration of engaging in terrorism .']"
104,[],"['... Im sure Im not going to get credit for it , but that was largely because of what I was saying and my criticism of NATO .']"
105,[],[]
106,[],"['Since Gina Raimondo took office , investment fees on the states pension portfolio have gone up from about $ 12 million annually to about $ 50 million .']"
107,[],[]
108,[],[]
109,[],[]
110,[],[]
111,[],"['Under President Obamas healthcare reforms , the premium for an average plan for a family didnt go down by $ 2,500 per year , its gone up about $ 2,500 per year .']"
112,[],[]
113,[],['Says Obama promised unemployment would never go above 8 percent .']
114,[],[]
115,[],['President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York .']
116,[],[]
117,[],[]
118,[],"[""Rudy Giuliani is ' probably the most underqualified man since George Bush to seek the presidency . '""]"
119,[],[]
120,[],"['After Britains vote to leave the European Union , within 24 hours , Americans lost $ 100 billion from our 401ks .']"
121,[],[]
122,[],[]
123,[],"['Governor Rick Scott cut the cost of prepaid college tuition by nearly $ 20,000 .']"
124,[],"['The city of Columbus would save $ 41 million a year if employees had to contribute to their own , guaranteedcheck pensions .']"
125,[],"[""As Florida 's CFO , I shut down Krakow 's scam and refunded more than $ 1.2 million to Josephine and other victims of this con man .""]"
126,[],['You had more women getting computer sciences degrees in the 80s by a factor of 2plus than you do now .']
127,[],[]
128,[],['Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes .']
129,[],['About 3 percent of murders and crimes are committed with guns from people who actually legally purchase those guns .']
130,[],[]
131,[],[]
132,[],"['The years that I was speaker , the Florida House consistently offered leaner budgets than the governor offered .']"
133,[],"['We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years .']"
134,[],['Says the United States Supreme Court found that Social Security is not guaranteed .']
135,[],[]
136,['Oregonians have an amazing nocost way to fight abortion with free political donations'],[]
137,[],"['The president said hes going to bring in 250,000 Syrian and Iraqi refugees into this country .']"
138,[],"['Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity , and thats what they support .']"
139,[],[]
140,[],[]
141,[],"['In Rhode Island , 9 percent of workers use the states temporary disability insurance program each year while in New Jersey , the rate is only 3 percent .']"
142,[],"['In just 17 years , spending for Social Security , federal health care and interest on the debt will exceed ALL tax revenue !']"
143,[],['President Obama took more money from Wall Street in the 2008 campaign than anybody ever had .']
144,[],['Donald Trump has said nuclear proliferation is OK .']
145,[],[]
146,[],[]
147,[],[]
148,[],['Says Governor Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the United StatesMexico border .']
149,[],[]
150,[],['Were now spending 42 percent of our economy on government .']
151,[],[]
152,[],"['In 2005 , Dan Branch tried to expand thirdtrimester abortions in Texas .']"
